id,airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
246138,6299,SVMG,9629,100,ASP,1,0,09L,10.9109,-63.981998,,78,,27R,10.9164,-63.9548,,258,
246097,6300,SVMI,9930,148,ASP,1,0,09,10.598699569702148,-66.9977035522461,230,76,,27,10.605199813842773,-66.97109985351562,101,256,
246098,6300,SVMI,11483,148,ASP,1,0,10,10.603799819946289,-67.01280212402344,235,88,,28,10.6048002243042,-66.98079681396484,147,268,
246141,6315,SVPR,6726,148,ASP,1,0,07,8.284500122070312,-62.768699645996094,472,64,,25,8.292559623718262,-62.75199890136719,472,244,
246119,6334,SVVA,9842,164,ASP,1,0,10,10.150400161743164,-67.94200134277344,1415,92.8,,28,10.149100303649902,-67.91480255126953,1400,272.8,
236404,6356,SYCJ,11023,148,ASP,1,0,06,6.4919,-58.260799,96,45,,24,6.50642,-58.2463,71,225,
236405,6356,SYCJ,5002,148,ASP,1,0,11,6.49859,-58.262402,74,90,,29,6.49859,-58.248699,81,270,
232759,6359,TAPA,9003,148,ASP,1,0,07,17.130199432373047,-61.8036994934082,58,58.4,656,25,17.143199920654297,-61.781700134277344,17,238.4,
233605,6360,TBPB,11000,150,ASP,1,0,09,13.070899963378906,-59.50749969482422,169,75.9,,27,13.078300476074219,-59.47740173339844,160,255.9,
237540,6363,TFFF,9843,148,ASP,1,0,10,14.58846378326416,-61.018287658691406,10,80,,28,14.592778205871582,-60.993125915527344,14,260,984
236323,6366,TFFR,11499,148,ASP,1,0,12,16.268299102783203,-61.54790115356445,5,101,1312,30,16.262300491333008,-61.51570129394531,32,281,820
236098,6367,TGPY,9003,148,ASP,1,0,10,12.004300117492676,-61.79880142211914,21,90.3,,28,12.004199981689453,-61.77360153198242,41,270.3,
246189,6369,TIST,7000,150,ASP,1,0,10,18.33690071105957,-64.9833984375,23,87.5,,28,18.33769989013672,-64.96330261230469,11,267.5,2300
238489,6384,TJSJ,10002,200,ASP,1,0,08,18.438800811767578,-66.01490020751953,8,67,,26,18.449499130249023,-65.98829650878906,7,247,220
238490,6384,TJSJ,8016,150,CON,1,0,10,18.4335994720459,-66.01370239257812,8,90,,28,18.433500289916992,-65.9906005859375,8,270,
238692,6386,TKPK,7602,148,ASP,1,0,07,17.305500030517578,-62.72779846191406,168,57.1,200,25,17.3169002532959,-62.70949935913086,161,237.1,
238960,6389,TLPL,9003,148,ASP,1,0,10,13.733200073242188,-60.965301513671875,11,90,,28,13.733200073242188,-60.93989944458008,10,270,493
232758,6402,TNCA,9000,148,ASP,1,0,11,12.504400253295898,-70.02749633789062,12,103.6,,29,12.49839973449707,-70.00299835205078,62,283.6,
238000,6403,TNCB,9449,148,ASP,1,0,10,12.131400108337402,-68.28179931640625,14,91.7,,28,12.130599975585938,-68.25530242919922,20,271.7,
238001,6404,TNCC,11188,197,ASP,1,0,11,12.192099571228027,-68.97509765625,25,102.2,2723,29,12.185600280761719,-68.94450378417969,29,282.2,
237998,6406,TNCM,7546,148,ASP,1,0,10,18.039389,-63.1197,13,96,310,28,18.042464,-63.098216,9,276,
263402,43074,TRPG,1968,,ASP,0,0,10,,,,,,28,,,,,
239135,6409,TTCP,9002,159,ASP,1,0,11,11.15060043334961,-60.84469985961914,29,94.1,1003,29,11.148799896240234,-60.819698333740234,20,274.1,
239134,6410,TTPP,10500,150,ASP,1,0,10,10.59529972076416,-61.351898193359375,30,90,,28,10.595399856567383,-61.322601318359375,58,270,
246158,6411,TUPJ,4642,89,ASP,1,0,07,18.442399978637695,-64.54740142822266,14,61,489,25,18.448699951171875,-64.53579711914062,7,241,195
322384,322383,TVSA,9000,148,ASP,1,0,04,,,136,,,22,,,52,,985
233616,6416,TXKF,9705,150,ASP,1,0,12,32.366699,-64.694099,18,117,,30,32.361401,-64.6633,18,297,
347234,6421,UAAA,14764,148,ASPH,1,0,05L,43.3473014831543,77.02519989013672,2221,,,23R,43.37009811401367,77.07109832763672,2221,,
237406,6421,UAAA,14436,148,ASP,1,0,05R,43.34123992919922,77.0174560546875,2224,56,,23L,43.36347961425781,77.06234741210938,2234,236,
237393,6423,UACC,11484,148,ASP,1,0,04,51.01100158691406,71.44960021972656,1165,45,,22,51.03340148925781,71.4845962524414,1158,225,
252295,31768,UACK,8325,125,ASP,0,0,02,53.319400787353516,69.58460235595703,,32,,20,53.33879852294922,69.60469818115234,,212,
249992,32495,UACP,8190,128,ASP,0,0,05,54.76969909667969,69.16629791259766,,66,,23,54.77899932861328,69.20169830322266,,246,
237404,6424,UADD,9514,148,ASP,1,0,13,42.86309814453125,71.2916030883789,2148,137,,31,42.84400177001953,71.31580352783203,2181,317,722
237280,6426,UAFM,13780,180,CON,1,0,07,43.057999,74.452202,2090,80,,25,43.064602,74.502998,2055,260,
